timeframe,cluster2017,NumOccupiedHsgUnits,NumOccupiedHsgUnits_m,cluster2017_nf,start_date,end_date,PctSameHouse5YearsAgo,PctVacantHsgUnitsForRent,PctOwnerOccupiedHsgUnits,PctVacantHUForRent_m,PctOwnerOccupiedHU_m,mprice_sf,sales_sf,MedianMrtgInc1_4m_adj,NumMrtgOrigHomePurchPerUnit,PctSubprimeConvOrigHomePur,forecl_ssl_1Kpcl_sf_condo,forecl_ssl_sf_condo,trustee_ssl_1Kpcl_sf_condo,trustee_ssl_sf_condo,PctAnnChgRMPriceSf_1yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_10yr,indc
2010,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-10,31-Dec-10,X,X,X,X,X,278950,86,73011,72,0.2,39,165,12,50,.,.,.,1
2011,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-11,31-Dec-11,X,X,X,X,X,239700,60,73011,72,0.2,0,0,3,13,.,.,.,1
2012,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-12,31-Dec-12,X,X,X,X,X,239750,102,73011,72,0.2,0,0,0.2,1,.,.,.,1
2013,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-13,31-Dec-13,X,X,X,X,X,230000,127,73011,72,0.2,0.5,2,0.7,3,.,.,.,1
2014,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-14,31-Dec-14,X,X,X,X,X,264000,78,73011,72,0.2,0.5,2,0.7,3,.,.,.,1
2015,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-15,31-Dec-15,X,X,X,X,X,265000,74,73011,72,0.2,0.5,2,0.7,3,.,.,.,1
2016,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-16,31-Dec-16,X,X,X,X,X,316000,130,73011,72,0.2,0.5,2,0.7,3,.,.,.,1
1995,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-95,31-Dec-95,X,X,X,X,X,94750,92,53651,17,0.1,14,57,4.3,17,.,.,.,1
1996,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-96,31-Dec-96,X,X,X,X,X,88900,106,54836,23,0.2,17,69,4.5,18,.,.,.,1
1997,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-97,31-Dec-97,X,X,X,X,X,95510,124,54198,28,0.3,19,75,6.8,27,.,.,.,1
