timeframe,cluster2017,cluster2017_nf,start_date,end_date,PctPoorPersons,PctPoorChildren,PctPoorElderly,AvgFamilyIncAdj,PctPoorPersons_m,PctPoorChildren_m,PctPoorElderly_m,AvgFamilyIncAdj_m,PctChgAvgFamilyIncAdj,Tanf_client,Fs_client
2012-16,"Capitol View, Marshall Heights, Benning Heights",Cluster 33,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,0,X,X
2012-16,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Cluster 34,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-12,X,X
2012-16,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Cluster 35,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-5.6,X,X
2012-16,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-11,X,X
2012-16,"Sheridan, Barry Farm, Buena Vista",Cluster 37,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,50,X,X
2012-16,"Douglas, Shipley Terrace",Cluster 38,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,15,X,X
2012-16,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-8.5,X,X
2012-16,Walter Reed,Cluster 40,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-58,X,X
2012-16,Rock Creek Park,Cluster 41,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-0.1,X,X
2012-16,Saint Elizabeths,Cluster 43,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,72,X,X
2012-16,Joint Base Anacostia-Bolling,Cluster 44,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,10,X,X
2012-16,"Arboretum, Anacostia River",Cluster 46,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,.,X,X
2000,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,33,X,X
2000,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,14,X,X
2000,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,7.5,X,X
2000,"Georgetown, Burleith/Hillandale",Cluster 4,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,21,X,X
2000,"West End, Foggy Bottom, GWU",Cluster 5,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,14,X,X
2000,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,31,X,X
2000,"Shaw, Logan Circle",Cluster 7,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,11,X,X
2000,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,37,X,X
2000,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-24,X,X
2000,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,21,X,X
2000,"Friendship Heights, American University Park, Tenleytown",Cluster 11,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,32,X,X
2000,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,11,X,X
2000,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,19,X,X
2000,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-5.8,X,X
2000,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,4,X,X
2000,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,3.4,X,X
2000,"Takoma, Brightwood, Manor Park",Cluster 17,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-3.4,X,X
2000,"Brightwood Park, Crestwood, Petworth",Cluster 18,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,6.1,X,X
2000,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-2.6,X,X
2000,"North Michigan Park, Michigan Park, University Heights",Cluster 20,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-9.2,X,X
2000,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Cluster 21,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-5.8,X,X
2000,"Brookland, Brentwood, Langdon",Cluster 22,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,6.3,X,X
2000,"Ivy City, Arboretum, Trinidad, Carver Langston",Cluster 23,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-2.4,X,X
2000,"Woodridge, Fort Lincoln, Gateway",Cluster 24,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,0.4,X,X
2000,"Union Station, Stanton Park, Kingman Park",Cluster 25,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,2.4,X,X
2000,"Capitol Hill, Lincoln Park",Cluster 26,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,15,X,X
2000,"Near Southeast, Navy Yard",Cluster 27,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-8.2,X,X
2000,Historic Anacostia,Cluster 28,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-11,X,X
